tconst	averageRating	numVotes
tt0002096	4.1	18
tt0002097	4.2	37
tt0002098	5.9	163
tt0002101	5.1	641
tt0002107	4.6	25
tt0002113	6.8	1279
tt0002114	4.7	20
tt0002121	5.3	49
tt0002122	6.2	346
tt0002124	5.1	411
tt0002126	5.9	91
tt0002130	7	3727
tt0002132	5.8	25
tt0002133	5.7	234
tt0002136	5.6	120
tt0002139	5.7	23
tt0002143	6	837
tt0002144	5.5	20
tt0002145	9	14
tt0002151	4.9	34
tt0002152	4.4	8
tt0002153	5.9	86
tt0002159	4.6	47
tt0002160	6.2	146
tt0002162	4.7	89
tt0002167	4.5	25
tt0002172	5.5	36
tt0002176	5.8	341
tt0002177	6	89
tt0002179	3.8	42
tt0002181	6.1	266
tt0002186	6.4	151
tt0002190	6.1	437
tt0002196	4.9	21
tt0002197	5.5	331
tt0002198	6.1	30
tt0002199	5.8	669
tt0002200	6	102
tt0002202	4.8	17
tt0002203	5	68
tt0002206	5.4	23
tt0002208	6.7	1335
tt0002212	6.1	44
tt0002214	6.2	46
tt0002216	6	49
tt0002220	4.5	46
tt0002221	6.7	543
tt0002224	5.1	176
tt0002226	5.7	82
tt0002230	6.4	109
tt0002232	5.3	70
tt0002233	4.6	158
tt0002234	8.5	27
tt0002251	7.2	14
tt0002253	5.2	20
tt0002255	4.6	61
tt0002259	4.8	17
tt0002260	6.4	1413
tt0002261	6	39
tt0002262	5.4	13
tt0002266	7.8	15
tt0002268	5.1	14
tt0002273	5.4	41
tt0002277	6.8	39
tt0002278	5.2	46
tt0002280	4.9	57
tt0002281	6.2	349
tt0002282	6.1	62
tt0002287	6	15
tt0002290	5.2	72
tt0002293	4.2	20
tt0002295	7.7	15
tt0002300	6.2	20
tt0002302	5.9	69
tt0002303	5.6	216
tt0002305	7.8	32
tt0002309	8.6	22
tt0002318	5.8	58
tt0002320	3.7	18
tt0002325	5.5	9
tt0002329	5	38
tt0002330	5.2	22
tt0002332	5.1	44
tt0002337	5.8	16
tt0002340	5.7	61
tt0002342	5.6	121
tt0002349	5.4	25
tt0002350	6.4	369
tt0002354	6.1	210
tt0002355	5.9	77
tt0002357	6	265
tt0002369	6.2	71
tt0002370	6	18
tt0002371	6.3	26
tt0002374	6.2	19
tt0002375	5.3	13
tt0002380	5.5	27
tt0002381	6.6	2572
tt0002382	6.1	84
tt0002383	7.8	11
tt0002386	5.8	163
tt0002387	4.4	57
tt0002391	6.3	961
tt0002392	6.5	15
tt0002395	4.8	14
tt0002398	5.2	59
tt0002399	4.1	27
tt0002400	5.7	267
tt0002402	7.7	8
tt0002405	5.2	43
tt0002406	5	27
tt0002408	6.1	342
tt0002409	6.9	20
tt0002415	5.8	660
tt0002421	6	128
tt0002423	6.6	1059
tt0002429	6.2	186
tt0002431	5	14
tt0002434	9	13
tt0002437	9	13
tt0002440	4.1	33
tt0002441	5.8	35
tt0002443	4.6	21
tt0002445	6.1	479
tt0002449	6.3	70
tt0002451	8.5	23
tt0002452	6.4	275
tt0002461	5.7	337
tt0002465	5.3	79
tt0002466	5.1	12
tt0002473	6.5	98
tt0002474	6.4	14
tt0002475	6.2	130
tt0002477	6.2	15
tt0002478	5.7	90
tt0002484	5.8	57
tt0002497	5.7	148
tt0002500	6	25
tt0002501	4.3	49
tt0002504	4.7	68
tt0002505	5.1	21
tt0002506	5.2	41
tt0002512	6.2	429
tt0002514	4.9	18
tt0002515	5.6	23
tt0002521	5.5	47
tt0002523	5.7	111
tt0002528	5	69
tt0002529	5	17
tt0002531	5.9	23
tt0002532	5.9	93
tt0002533	4.9	87
tt0002535	4.7	57
tt0002536	5.5	60
tt0002537	6.2	9
tt0002538	7.4	20
tt0002540	6.5	10
tt0002542	5.8	29
tt0002544	5.8	256
tt0002545	7.6	16
